SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
ENG.0070;Acionamento Elétrico;Graduação;60;80;4;Sim;-;-
TEC.0154;Administração Avançada de Serviços de Redes (NCT);Graduação;60;80;4;Sim;TEC.405.0001;-
TEC.1060;Administração da Produção;Graduação;60;80;4;Sim;-;-
TEC.0872;Administração de Banco de Dados;Graduação;45;60;3;Sim;INF.S028;Curso 404X
TEC.0264;Administração de Sistemas Abertos;Graduação;60;80;4;Sim;INF.S068;405x
TEC.0148;Administração de Sistemas Abertos (NCT);Graduação;60;80;4;Sim;TEC.405.0002;-
TEC.0873;Administração de Sistemas Operacionais;Graduação;60;80;4;Sim;INF.S025;Curso 404X
TEC.0717;Administração de Sistemas Operacionais de Redes;Graduação;60;80;4;Sim;TEC.NCT.UT.0084;-
TEC.0271;Administração de Sistemas Proprietários;Graduação;60;80;4;Sim;INF.S074;405x
TEC.0155;Administração de Sistemas Proprietários (NCT);Graduação;60;80;4;Sim;TEC.405.0003;-
TEC.0674;Administração e Gestão Cultural;Graduação;60;80;4;Sim;TEC.412.0001;Curso 
CIV.0014;Administração e Logística na Construção Civil (60h);Graduação;60;80;4;Sim;-;-
ESA.0011;Administração, Empreendedorismo e Inovação (60h);Graduação;60;80;4;Sim;-;-
TEC.0320;Administração Municipal;Graduação;60;80;4;Sim;SUP.053;Curso 01436X
TEC.1152;Agenciamento e Roteirização Turística;Graduação;60;80;4;Sim;-;-
LIC.1076;Agricultura familiar;Graduação;60;80;4;Sim;-;-
LIC.0657;Agricultura familiar I;Graduação;30;40;2;Sim;-;-
LIC.0658;Agricultura familiar II;Graduação;45;60;3;Sim;-;-
TEC.0347;Agricultura I;Graduação;60;80;4;Sim;TEC.805.0017;Curso 05805
TEC.0348;Agricultura II;Graduação;60;80;4;Sim;TEC.805.0018;Curso 05805
LIC.0712;Agroecologia;Graduação;30;40;2;Sim;-;Curso 710
TEC.1078;Agrometeorologia;Graduação;60;80;4;Sim;-;-
TEC.0336;Agrometeorologia e Gestão dos Recursos Hídricos no Semiárido(60H);Graduação;60;80;4;Sim;TEC.805.0007;Curso 05805
LIC.0653;Alfabetização, letramento e numeramento no contexto da diversidade;Graduação;60;80;4;Sim;-;-
LIC.0922;Álgebra I;Graduação;60;80;4;Sim;-;matriz 324
LIC.0937;Álgebra II;Graduação;60;80;4;Sim;-;matriz 324
LIC.0220;Álgebra Linear;Graduação;90;120;6;Sim;LIC.601.0023;Curso 601
LIC.0425;Álgebra Linear;Graduação;45;60;3;Sim;LIC.NEp.0013;-
TEC.0874;Álgebra Linear;Graduação;45;60;3;Sim;FOR.S012;Curso 404X
LIC.0685;Álgebra Linear;Graduação;45;60;3;Sim;SUP.222;.
TEC.0487;Álgebra Linear(60H);Graduação;60;80;4;Sim;TEC.NCT.UB.0038;Curso 06804
ENG.0006;Álgebra Linear Aplicada;Graduação;60;80;4;Sim;-;-
LIC.0904;Álgebra Linear I;Graduação;60;80;4;Sim;-;matriz 324
LIC.1152;Álgebra Linear I;Graduação;60;80;4;Sim;-;Fisica
LIC.0932;Álgebra Linear II;Graduação;60;80;4;Sim;-;matriz 324
LIC.1153;Álgebra Linear II;Graduação;60;80;4;Sim;-;Fisica
CIV.0004;Algorítmo e Linguagem de Programação (60h);Graduação;60;80;4;Sim;-;-
LIC.0603;Algoritmo e Tecnologia de Programação;Graduação;60;80;4;Sim;SUP.123;Curso 01430x
TEC.1007;Algoritmos;Graduação;60;80;4;Sim;TEC.404.0003;Curso 404
ENG.0018;Algoritmos e Estrutura de Dados;Graduação;60;80;4;Sim;-;-
LIC.0202;Algoritmos e Programação de Computadores;Graduação;60;80;4;Sim;LIC.601.0030;Curso 601
LIC.0433;Algoritmos e Técnicas de Programação;Graduação;60;80;4;Sim;LIC.411.0002;Curso 05411
TEC.0676;Algoritmos e Técnicas de Programação;Graduação;90;120;6;Sim;TEC.806.0001;-
LIC.0683;Algoritmos e Técnicas de Programação;Graduação;60;80;4;Sim;SUP.223;-
TEC.0810;Algoritmos e Técnicas de Programação(90H);Graduação;90;120;6;Sim;INF.S001;Curso 404X
TEC.0015;Algoritmos (NCT);Graduação;60;80;4;Sim;TEC.405.0036;-
TEC.0342;Alimentação Animal de Base Ecológica(60H);Graduação;60;80;4;Sim;TEC.805.0014;Curso 05805
CIV.0071;Alta Performance na Engenharia Civil (30h);Graduação;30;40;2;Sim;-;-
CIV.0059;Alvenaria estrutural (60h);Graduação;60;80;4;Sim;-;-
TEC.1101;Ambiência e Bem Estar na Produção Animal;Graduação;30;40;2;Sim;-;-
TEC.0875;Ambiente de Desenvolvimento;Graduação;60;80;4;Sim;INF.S019;Curso 404X
